pmid	pmcid	doi	title	authors	year	month	day	journal	volume	issue	pages	abstract
22319593	PMC3272038	10.1371/journal.pone.0030920	Introspective minds: using ALE meta-analyses to study commonalities in the neural correlates of emotional processing, social & unconstrained cognition	['Schilbach L', 'Bzdok D', 'Timmermans B', 'Fox PT', 'Laird AR', 'Vogeley K', 'Eickhoff SB']	2012	2	29	PLoS One	7	2	e30920	Previous research suggests overlap between brain regions that show task-induced deactivations and those activated during the performance of social-cognitive tasks. Here, we present results of quantitative meta-analyses of neuroimaging studies, which confirm a statistical convergence in the neural correlates of social and resting state cognition. Based on the idea that both social and unconstrained cognition might be characterized by introspective processes, which are also thought to be highly relevant for emotional experiences, a third meta-analysis was performed investigating studies on emotional processing. By using conjunction analyses across all three sets of studies, we can demonstrate significant overlap of task-related signal change in dorso-medial prefrontal and medial parietal cortex, brain regions that have, indeed, recently been linked to introspective abilities. Our findings, therefore, provide evidence for the existence of a core neural network, which shows task-related signal change during socio-emotional tasks and during resting states.
22326834	PMC3401637	10.1016/j.neuroimage.2012.01.117	Resting state functional connectivity in addiction: Lessons learned and a road ahead	['Sutherland MT', 'McHugh MJ', 'Pariyadath V', 'Stein EA']	2012	10	1	Neuroimage	62	4	2281-95	Despite intensive scientific investigation and public health imperatives, drug addiction treatment outcomes have not significantly improved in more than 50 years. Non-invasive brain imaging has, over the past several decades, contributed important new insights into the neuroplastic adaptations that result from chronic drug intake, but additional experimental approaches and neurobiological hypotheses are needed to better capture the totality of the motivational, affective, cognitive, genetic and pharmacological complexities of the disease. Recent advances in assessing network dynamics through resting-state functional connectivity (rsFC) may allow for such systems-level assessments. In this review, we first summarize the nascent addiction-related rsFC literature and suggest that in using this tool, circuit connectivity may inform specific neurobiological substrates underlying psychological dysfunctions associated with reward, affective and cognitive processing often observed in drug addicts. Using nicotine addiction as an exemplar, we subsequently provide a heuristic framework to guide future research by linking recent findings from intrinsic network connectivity studies with those interrogating nicotine's neuropharmacological actions. Emerging evidence supports a critical role for the insula in nicotine addiction. Likewise, the anterior insula, potentially together with the anterior cingulate cortex, appears to pivotally influence the dynamics between large-scale brain networks subserving internal (default-mode network) and external (executive control network) information processing. We suggest that a better understanding of how the insula modulates the interaction between these networks is critical for elucidating both the cognitive impairments often associated with withdrawal and the performance-enhancing effects of nicotine administration. Such an understanding may be usefully applied in the design and development of novel smoking cessation treatments.
22387170	PMC3321133	10.1016/j.neuroimage.2012.02.037	Across-study and within-subject functional connectivity of a right temporo-parietal junction subregion involved in stimulus-context integration	['Jakobs O', 'Langner R', 'Caspers S', 'Roski C', 'Cieslik EC', 'Zilles K', 'Laird AR', 'Fox PT', 'Eickhoff SB']	2012	5	1	Neuroimage	60	4	2389-98	Bidirectional integration between sensory stimuli and contextual framing is fundamental to action control. Stimuli may entail context-dependent actions, while temporal or spatial characteristics of a stimulus train may establish a contextual framework for upcoming stimuli. Here we aimed at identifying core areas for stimulus-context integration and delineated their functional connectivity (FC) using meta-analytic connectivity modeling (MACM) and analysis of resting-state networks. In a multi-study conjunction, consistently increased activity under higher demands on stimulus-context integration was predominantly found in the right temporo-parietal junction (TPJ), which represented the largest cluster of overlap and was thus used as the seed for the FC analyses. The conjunction between task-dependent (MACM) and task-free (resting state) FC of the right TPJ revealed a shared network comprising bilaterally inferior parietal and frontal cortices, anterior insula, premotor cortex, putamen and cerebellum, i.e., a 'ventral' action/attention network. Stronger task-dependent (vs. task-free) connectivity was observed with the pre-SMA, dorsal premotor cortex, intraparietal sulcus, basal ganglia and primary sensori motor cortex, while stronger resting-state (vs. task-dependent) connectivity was found with the dorsolateral prefrontal and medial parietal cortex. Our data provide strong evidence that the right TPJ may represent a key region for the integration of sensory stimuli and contextual frames in action control. Task-dependent associations with regions related to stimulus processing and motor responses indicate that the right TPJ may integrate 'collaterals' of sensory processing and apply (ensuing) contextual frames, most likely via modulation of preparatory loops. Given the pattern of resting-state connectivity, internal states and goal representations may provide the substrates for the contextual integration within the TPJ in the absence of a specific task.
22569543	PMC3381058	10.1016/j.neuroimage.2012.04.060	Electrophysiological and functional connectivity of the human supplementary motor area	['Narayana S', 'Laird AR', 'Tandon N', 'Franklin C', 'Lancaster JL', 'Fox PT']	2012	8	1	Neuroimage	62	1	250-65	Neuro-imaging methods for detecting functional and structural inter-regional connectivity are in a rapid phase of development. While reports of regional connectivity patterns based on individual methods are becoming common, studies comparing the results of two or more connectivity-mapping methods remain rare. In this study, we applied transcranial magnetic stimulation during PET imaging (TMS/PET), a stimulation-based method, and meta-analytic connectivity modeling (MACM), a task-based method to map the connectivity patterns of the supplementary motor area (SMA). Further, we drew upon the behavioral domain meta-data of the BrainMap(R) database to characterize the behavioral domain specificity of two maps. Both MACM and TMS/PET detected multi-synaptic connectivity patterns, with the MACM-detected connections being more extensive. Both MACM and TMS/PET detected connections belonging to multiple behavioral domains, including action, cognition and perception. Finally, we show that the two connectivity-mapping methods are complementary in that, the MACM informed on the functional nature of SMA connections, while TMS/PET identified brain areas electrophysiologically connected with the SMA. Thus, we demonstrate that integrating multimodal database and imaging techniques can derive comprehensive connectivity maps of brain areas.
22659444	PMC4801477	10.1016/j.neuroimage.2012.05.058	Investigating function and connectivity of morphometric findings--exemplified on cerebellar atrophy in spinocerebellar ataxia 17 (SCA17)	['Reetz K', 'Dogan I', 'Rolfs A', 'Binkofski F', 'Schulz JB', 'Laird AR', 'Fox PT', 'Eickhoff SB']	2012	9	29	Neuroimage	62	3	1354-66	Spinocerebellar ataxia type 17 (SCA17) is a rare autosomal dominant neurodegenerative disorder characterized by progressive cerebellar ataxia but also a broad spectrum of other neuropsychiatric signs. As anatomical and structural studies have shown severe cerebellar atrophy in SCA17 and a differentiation of the human cerebellum into an anterior sensorimotor and posterior cognitive/emotional partition has been implicated, we aimed at investigating functional connectivity patterns of two cerebellar clusters of atrophy revealed by a morphometric analysis in SCA17 patients. In particular, voxel-based morphometry (VBM) revealed a large cluster of atrophy in SCA17 in the bilateral anterior cerebellum (lobule V) and another one in the left posterior cerebellum (lobules IX, VIIb, VIIIA, VIIIB). These two cerebellar clusters were used as seeds for functional connectivity analyses using task-based meta-analytic connectivity modeling (MACM) and task-free resting state connectivity analysis. Results demonstrated first consistent functional connectivity throughout the cerebellum itself; the anterior cerebellar seed showed stronger connectivity to lobules V, VI and to some extent I-IV, and the posterior cerebellar seed to the posterior lobules VI-IX. Importantly, the cerebellar anterior seed also showed consistently stronger functional connectivity than the posterior one with pre- and motor areas as well as the primary somatosensory cortex. In turn, task-based task-independent functional connectivity analyses revealed that the cerebellar posterior seed was linked with fronto-temporo-parietal areas as well as partly the insula and the thalamus, i.e., brain regions implicated in cognitive and affective processes. Functional characterization of experiments activating either cerebellar seed further corroborated this notion, revealing mainly motor-related functions for the anterior cluster and predominantly cognitive functions were associated for the posterior one. The differential functional connectivity of the cerebellar anterior and posterior cluster highlights the manifold connections and dichotomy of the human cerebellum, providing additional valuable information about probably disrupted cerebellar-cerebral connections and reflecting the brunt of motor but also the broad spectrum of neuropsychiatric deficits in SCA17.
22806915	PMC4801486	10.1002/hbm.22138	An investigation of the structural, connectional, and functional subspecialization in the human amygdala	['Bzdok D', 'Laird AR', 'Zilles K', 'Fox PT', 'Eickhoff SB']	2013	12	29	Hum Brain Mapp	34	12	3247-66	Although the amygdala complex is a brain area critical for human behavior, knowledge of its subspecialization is primarily derived from experiments in animals. We here employed methods for large-scale data mining to perform a connectivity-derived parcellation of the human amygdala based on whole-brain coactivation patterns computed for each seed voxel. Voxels within the histologically defined human amygdala were clustered into distinct groups based on their brain-wide coactivation maps. Using this approach, connectivity-based parcellation divided the amygdala into three distinct clusters that are highly consistent with earlier microstructural distinctions. Meta-analytic connectivity modelling then revealed the derived clusters' brain-wide connectivity patterns, while meta-data profiling allowed their functional characterization. These analyses revealed that the amygdala's laterobasal nuclei group was associated with coordinating high-level sensory input, whereas its centromedial nuclei group was linked to mediating attentional, vegetative, and motor responses. The often-neglected superficial nuclei group emerged as particularly sensitive to olfactory and probably social information processing. The results of this model-free approach support the concordance of structural, connectional, and functional organization in the human amygdala and point to the importance of acknowledging the heterogeneity of this region in neuroimaging research.
22918987	PMC3792742	10.1093/cercor/bhs256	"Is there ""one"" DLPFC in cognitive action control? Evidence for heterogeneity from co-activation-based parcellation"	['Cieslik EC', 'Zilles K', 'Caspers S', 'Roski C', 'Kellermann TS', 'Jakobs O', 'Langner R', 'Laird AR', 'Fox PT', 'Eickhoff SB']	2013	11	29	Cereb Cortex	23	11	2677-89	The dorsolateral prefrontal cortex (DLPFC) has consistently been implicated in cognitive control of motor behavior. There is, however, considerable variability in the exact location and extension of these activations across functional magnetic resonance imaging (fMRI) experiments. This poses the question of whether this variability reflects sampling error and spatial uncertainty in fMRI experiments or structural and functional heterogeneity of this region. This study shows that the right DLPFC as observed in 4 different experiments tapping executive action control may be subdivided into 2 distinct subregions-an anterior-ventral and a posterior-dorsal one -based on their whole-brain co-activation patterns across neuroimaging studies. Investigation of task-dependent and task-independent connectivity revealed both clusters to be involved in distinct neural networks. The posterior subregion showed increased connectivity with bilateral intraparietal sulci, whereas the anterior subregion showed increased connectivity with the anterior cingulate cortex. Functional characterization with quantitative forward and reverse inferences revealed the anterior network to be more strongly associated with attention and action inhibition processes, whereas the posterior network was more strongly related to action execution and working memory. The present data provide evidence that cognitive action control in the right DLPFC may rely on differentiable neural networks and cognitive functions.
22922585	PMC4801478	10.1159/000339528	Consistent neurodegeneration and its association with clinical progression in Huntington's disease: a coordinate-based meta-analysis	['Dogan I', 'Eickhoff SB', 'Schulz JB', 'Shah NJ', 'Laird AR', 'Fox PT', 'Reetz K']	2013	2	28	Neurodegener Dis	12	1	23-35	BACKGROUND: The neuropathological hallmark of Huntington's disease (HD) is progressive striatal loss starting several years prior to clinical onset. In the past decade, whole-brain magnetic resonance imaging (MRI) studies have provided accumulating evidence for widely distributed cortical and subcortical atrophy in the early course of the disease. OBJECTIVE: In order to synthesize current morphometric MRI findings and to investigate the impact of clinical and genetic features on structural changes, we performed a coordinate-based meta-analysis of voxel-based morphometry (VBM) studies in HD. METHODS: Twenty HD samples derived from 17 studies were integrated in the analysis comparing a total of 685 HD mutation carriers [345 presymptomatic (pre-HD) and 340 symptomatic (symp-HD) subjects] and 507 controls. Convergent findings across studies were delineated using the anatomical likelihood estimation approach. Effects of genetic and clinical parameters on the likelihood of observing VBM findings were calculated by means of correlation analyses. RESULTS: Pre-HD studies featured convergent evidence for neurodegeneration in the basal ganglia, amygdala, thalamus, insula and occipital regions. In symp-HD, cerebral atrophy was more pronounced and spread to cortical regions (i.e., inferior frontal, premotor, sensorimotor, midcingulate, frontoparietal and temporoparietal cortices). Higher cytosine-adenosine-guanosine repeats were associated with striatal degeneration, while parameters of disease progression and motor impairment additionally correlated with cortical atrophy, especially in sensorimotor areas. CONCLUSION: This first quantitative meta-analysis in HD demonstrates the extent of striatal atrophy and further consistent extrastriatal degeneration before clinical conversion. Sensorimotor areas seem to be core regions affected in symp-HD and, along with widespread cortical atrophy, may account for the clinical heterogeneity in HD.
22936519	PMC3514575	10.1002/hbm.22155	A coordinate-based meta-analytic model of trauma processing in posttraumatic stress disorder	['Ramage AE', 'Laird AR', 'Eickhoff SB', 'Acheson A', 'Peterson AL', 'Williamson DE', 'Telch MJ', 'Fox PT']	2013	12	29	Hum Brain Mapp	34	12	3392-9	Posttraumatic stress disorder (PTSD) has a well-defined set of symptoms that can be elicited during traumatic imagery tasks. For this reason, trauma imagery tasks are often employed in functional neuroimaging studies. Here, coordinate-based meta-analysis (CBM) was used to pool eight studies applying traumatic imagery tasks to identify sites of task-induced activation in 170 PTSD patients and 104 healthy controls. In this way, right anterior cingulate (ACC), right posterior cingulate (PCC), and left precuneus (Pcun) were identified as regions uniquely active in PTSD patients relative to healthy controls. To further characterize these regions, their normal interactions, and their typical functional roles, meta-analytic connectivity modeling (MACM) with behavioral filtering was applied. MACM indicated that the PCC and Pcun regions were frequently co-active and associated with processing of cognitive information, particularly in explicit memory tasks. Emotional processing was particularly associated with co-activity of the ACC and PCC, as mediated by the thalamus. By narrowing the regions of interest to those commonly active across multiple studies (using CBM) and developing a priori hypotheses about directed probabilistic dependencies amongst these regions, this proposed model-when applied in the context of graphical and causal modeling-should improve model fit and thereby increase statistical power for detecting differences between subject groups and between treatments in neuroimaging studies of PTSD.
22973224	PMC3428588	10.3389/fninf.2012.00023	Automated regional behavioral analysis for human brain images	['Lancaster JL', 'Laird AR', 'Eickhoff SB', 'Martinez MJ', 'Fox PM', 'Fox PT']	2012	2	29	Front Neuroinform	6		23	"Behavioral categories of functional imaging experiments along with standardized brain coordinates of associated activations were used to develop a method to automate regional behavioral analysis of human brain images. Behavioral and coordinate data were taken from the BrainMap database (http://www.brainmap.org/), which documents over 20 years of published functional brain imaging studies. A brain region of interest (ROI) for behavioral analysis can be defined in functional images, anatomical images or brain atlases, if images are spatially normalized to MNI or Talairach standards. Results of behavioral analysis are presented for each of BrainMap's 51 behavioral sub-domains spanning five behavioral domains (Action, Cognition, Emotion, Interoception, and Perception). For each behavioral sub-domain the fraction of coordinates falling within the ROI was computed and compared with the fraction expected if coordinates for the behavior were not clustered, i.e., uniformly distributed. When the difference between these fractions is large behavioral association is indicated. A z-score >/= 3.0 was used to designate statistically significant behavioral association. The left-right symmetry of ~100K activation foci was evaluated by hemisphere, lobe, and by behavioral sub-domain. Results highlighted the classic left-side dominance for language while asymmetry for most sub-domains (~75%) was not statistically significant. Use scenarios were presented for anatomical ROIs from the Harvard-Oxford cortical (HOC) brain atlas, functional ROIs from statistical parametric maps in a TMS-PET study, a task-based fMRI study, and ROIs from the ten ""major representative"" functional networks in a previously published resting state fMRI study. Statistically significant behavioral findings for these use scenarios were consistent with published behaviors for associated anatomical and functional regions."
23042731	PMC3862271	10.1093/cercor/bhs308	Meta-analytic connectivity modeling reveals differential functional connectivity of the medial and lateral orbitofrontal cortex	['Zald DH', 'McHugo M', 'Ray KL', 'Glahn DC', 'Eickhoff SB', 'Laird AR']	2014	1	29	Cereb Cortex	24	1	232-48	The orbitofrontal cortex (OFC) is implicated in a broad range of behaviors and neuropsychiatric disorders. Anatomical tracing studies in nonhuman primates reveal differences in connectivity across subregions of the OFC, but data on the connectivity of the human OFC remain limited. We applied meta-analytic connectivity modeling in order to examine which brain regions are most frequently coactivated with the medial and lateral portions of the OFC in published functional neuroimaging studies. The analysis revealed a clear divergence in the pattern of connectivity for the medial OFC (mOFC) and lateral OFC (lOFC) regions. The lOFC showed coactivations with a network of prefrontal regions and areas involved in cognitive functions including language and memory. In contrast, the mOFC showed connectivity with default mode, autonomic, and limbic regions. Convergent patterns of coactivations were observed in the amygdala, hippocampus, striatum, and thalamus. A small number of regions showed connectivity specific to the anterior or posterior sectors of the OFC. Task domains involving memory, semantic processing, face processing, and reward were additionally analyzed in order to identify the different patterns of OFC functional connectivity associated with specific cognitive and affective processes. These data provide a framework for understanding the human OFC's position within widespread functional networks.
